Student_ID,Age,Gender,Department,CGPA,Attendance,Python_Skill,Java_Skill,DSA_Skill,Projects,Internships,Communication_Score,Aptitude_Score,Placement,Salary_LPA
1,21,Female,Data Science,7.84,93.1,8,5,1,1,1,77,84,Yes,9.16
2,22,Male,Electronics,7.66,90.6,9,7,2,2,1,89,100,Yes,6.24
3,19,Male,Information Technology,5.62,82.9,3,1,10,0,0,58,52,No,0.0
4,21,Male,Electronics,7.04,98.2,3,5,10,3,1,95,90,Yes,3.37
5,21,Male,Electronics,7.21,68.0,4,2,4,1,3,86,89,No,0.0
6,22,Male,Data Science,7.29,64.4,5,4,1,0,2,65,99,No,0.0
7,19,Female,Electronics,8.11,94.2,10,7,8,4,2,78,58,Yes,10.23
8,19,Male,Data Science,7.9,77.6,1,5,9,1,3,49,40,Yes,9.45
9,21,Female,Computer Science,8.24,93.9,7,6,4,1,2,77,79,Yes,4.84
10,20,Female,Computer Science,8.94,95.7,9,2,10,3,0,53,71,Yes,5.22
11,21,Male,Data Science,9.16,62.5,8,3,3,2,1,88,61,Yes,11.96
12,21,Male,Computer Science,8.73,95.3,5,7,2,2,1,80,87,Yes,3.93
13,21,Female,Information Technology,9.8,77.9,4,2,5,1,1,58,68,Yes,4.63
14,21,Male,Electronics,5.58,80.4,7,6,3,0,0,69,41,No,0.0
15,22,Male,Information Technology,6.38,85.1,5,5,10,4,0,44,79,No,0.0
16,19,Female,Electronics,5.53,97.1,7,10,7,4,0,94,77,Yes,4.89
17,22,Female,Computer Science,8.41,60.8,1,1,6,0,3,70,87,No,0.0
18,22,Male,Information Technology,9.54,79.1,1,10,1,1,0,46,94,Yes,7.28
19,22,Female,Computer Science,6.6,87.5,10,4,8,4,2,58,50,Yes,11.11
20,21,Male,Electronics,9.67,88.9,3,2,2,2,3,70,56,Yes,3.31
21,20,Male,Data Science,5.77,87.7,2,4,5,0,3,91,94,No,0.0
22,19,Male,Data Science,9.7,65.4,2,1,9,3,3,97,90,Yes,8.37
23,20,Female,Information Technology,7.08,72.0,7,2,8,1,0,78,82,No,0.0
24,22,Female,Computer Science,5.96,74.3,10,8,2,0,3,63,99,No,0.0
25,22,Female,Computer Science,7.69,92.2,2,6,9,4,0,73,47,Yes,10.34
26,20,Female,Information Technology,6.66,71.2,4,2,5,1,0,96,61,No,0.0
27,20,Female,Data Science,6.78,68.4,2,6,10,2,3,62,43,No,0.0
28,20,Male,Electronics,6.88,98.3,6,10,6,1,1,87,50,Yes,7.45
29,22,Male,Information Technology,9.11,60.4,8,9,3,1,1,84,47,Yes,4.2
30,22,Male,Electronics,7.93,99.9,10,7,3,2,3,79,48,Yes,10.97
31,19,Male,Data Science,6.9,87.1,4,9,10,2,1,45,65,Yes,8.84
32,19,Female,Computer Science,8.25,93.1,5,5,8,1,2,77,41,Yes,4.47
33,22,Male,Data Science,8.72,71.8,4,7,10,2,2,80,55,Yes,3.3
34,20,Female,Information Technology,6.73,60.6,3,7,10,0,0,75,70,No,0.0
35,20,Male,Computer Science,7.36,89.5,5,3,2,2,1,66,45,No,0.0
36,19,Female,Information Technology,6.05,93.4,9,7,2,2,2,50,92,No,0.0
37,22,Female,Information Technology,6.32,89.6,8,1,5,1,3,44,60,No,0.0
38,19,Male,Data Science,8.57,65.7,8,9,6,0,1,96,65,Yes,3.23
39,19,Male,Information Technology,6.32,90.1,8,10,2,3,2,56,98,Yes,9.51
40,21,Male,Data Science,7.86,90.8,8,6,5,3,2,91,58,Yes,10.29
41,21,Male,Computer Science,8.69,86.3,7,5,7,4,3,46,67,Yes,10.17
42,21,Female,Data Science,5.98,90.6,8,7,10,2,0,66,47,No,0.0
43,20,Male,Computer Science,8.05,93.8,8,5,10,2,3,86,53,Yes,11.13
44,22,Male,Data Science,6.65,84.5,8,10,8,0,0,96,63,Yes,9.05
45,22,Female,Electronics,9.83,63.5,10,5,7,3,2,54,87,Yes,11.08
46,22,Male,Electronics,7.68,79.5,7,10,8,4,0,85,83,Yes,7.02
47,22,Male,Information Technology,9.13,63.1,1,7,9,0,2,52,76,Yes,6.93
48,21,Male,Data Science,7.98,76.3,4,10,5,2,2,50,95,Yes,10.06
49,20,Male,Data Science,5.7,76.3,4,7,5,3,1,99,65,No,0.0
50,20,Male,Computer Science,8.35,62.6,5,3,10,4,0,84,70,Yes,7.69
51,21,Female,Information Technology,9.78,74.0,10,3,4,1,0,65,95,Yes,10.53
52,20,Male,Data Science,8.21,64.4,6,10,9,3,0,61,90,Yes,10.47
53,21,Male,Information Technology,9.19,92.3,4,3,5,4,3,67,71,Yes,11.61
54,22,Male,Electronics,9.48,97.9,2,6,2,0,1,63,89,Yes,9.28
55,21,Male,Data Science,6.53,62.9,6,6,10,1,1,68,80,No,0.0
56,22,Male,Data Science,6.45,98.2,8,3,8,4,1,48,41,Yes,3.18
57,22,Female,Information Technology,8.25,80.9,8,3,7,4,3,81,64,Yes,7.31
58,19,Male,Data Science,7.35,72.0,7,8,8,2,0,43,91,Yes,7.62
59,21,Female,Information Technology,9.28,63.1,6,8,3,3,0,88,83,Yes,5.16
60,19,Female,Data Science,9.55,80.0,2,7,4,2,0,85,100,Yes,4.12
61,21,Male,Computer Science,7.09,91.8,7,10,5,1,1,95,41,Yes,8.28
62,21,Male,Information Technology,6.57,88.3,5,4,6,4,1,57,81,No,0.0
63,19,Male,Data Science,9.01,62.0,6,4,1,2,2,82,40,Yes,11.94
64,19,Male,Electronics,6.74,62.9,10,3,4,3,3,55,75,Yes,9.82
65,21,Female,Data Science,9.2,76.1,8,5,10,1,3,72,96,Yes,10.14
66,20,Male,Electronics,7.41,71.8,8,3,5,0,1,68,51,No,0.0
67,22,Male,Electronics,8.5,69.3,3,8,7,2,2,78,48,Yes,11.87
68,19,Male,Computer Science,5.93,71.2,7,7,5,1,0,99,75,No,0.0
69,22,Male,Information Technology,8.31,92.1,1,3,1,0,1,49,80,No,0.0
70,20,Male,Data Science,7.53,97.2,1,9,7,2,3,48,67,Yes,11.51
71,20,Male,Computer Science,8.14,76.2,7,5,8,1,3,98,77,Yes,11.37
72,20,Female,Data Science,6.26,96.2,10,9,7,1,3,70,72,Yes,6.43
73,19,Female,Electronics,8.82,72.9,9,7,4,2,0,67,81,Yes,3.71
